"ID","Text_enUS","Text_enGB","Text_koKR","Text_frFR","Text_deDE","Text_enCN","Text_zhCN","Text_enTW","Text_Mask"
"396","|cffffd100Tip:|r Blízcí zadávači výprav očekávající váš návrat jsou zobrazování jako otazníky v minimapě.","","","","","","","","4128894"
"201","|cffffd100Tip:|r Vaše kouzlení může být ukončeno pohybem, skokem nebo zmačknutím klavesy Esc.","","","","","","","","4128894"
"221","|cffffd100Tip:|r Kliknete-li na hráčovo jméno v okně chatu, umožní Vám to poslat mu soukromou zprávu.","","","","","","","","4128894"
"258","|cffffd100Tip:|r Pokud kliknete na jméno hráče v okně chatu s podrženou klávesou <Shift>, tak se Vám o tom hráči zobrazí další informace.","","","","","","","","4128894"
"222","|cffffd100Tip:|r Můžete se podívat kliknutím a držením klávesy <Control> na předmět, jak by na Vás vypadal oblečený/použitý.","","","","","","","","4128894"
"223","|cffffd100Tip:|r Předmět s šedým jménem je předmět nevalné kvality obecně je může být prodán obchodníkovi.","","","","","","","","4128894"
"224","|cffffd100Tip:|r Předmět s bílým jménem je prohráče nějak použitelný a může být použit nebo prodán v aukčním domě.","","","","","","","","4128894"
"395","|cffffd100Tip:|r Pokud se vám nedaří dokončit výpravu, záznam výprav vám často řekne co dál dělat.","","","","","","","","4128894"
"225","|cffffd100Tip:|r Můžete poslat dopis ostatním hráčům nebo dokonce i vaší postavě z jakékoliv poštovní schránky ve hře.","","","","","","","","4128894"
"226","|cffffd100Tip:|r Pokud kliknete na ikonku předmetu s klávesou <Shift> a přitom budete mít otevřené chatovací okno, zobrazí se v chatu vámi označený předmět.","","","","","","","","4128894"
"384","|cffffd100Tip:|r Můžete odebrat přátelské kouzelné vylepšení u sebe kliknutím pravžm tlačítkem  na ikonu účinku kouzla.","","","","","","","","4128894"
"282","|cffffd100Tip:|r Když se naučíte profesi nebo vedlejší dovednost, tlačítko, které vám umožní provádět tuto dovednost najdete v záložce obecné v vaší knize kouzel.","","","","","","","","4128894"
"227","|cffffd100Tip:|r Všechny vaše akční panely mohou mít své horké klávesy předefinovány v rozhraní pro přizpůsobení kláves.","","","","","","","","4128894"
"228","|cffffd100Tip:|r Pokud vás nemůže cvičitel profese dál učit, většinou vám řekne, kam jít k získání dalšího výcviku.","","","","","","","","4128894"
"229","|cffffd100Tip:|r Na vašem listu postavy je záložka reputace, která vám řekne váš stav vůči různým skupinám.","","","","","","","","4128894"
"263","|cffffd100Tip:|r Můžete použít klávesu ""Tab"" k označení nejbližšího nepřítele, který se pohybuje před Vámi.","","","","","","","","4128894"
"321","|cffffd100Tip:|r Pokud máte problémy něco nalézt v hlavních městech, zkuste se zeptat strážných, oni Vám ukážou cestu.","","","","","","","","4128894"
"230","|cffffd100Tip:|r Můžete provádět mnoho zábavných akcí s vaším emočním systémem, např. můžete napsat /dance pro tančení.","","","","","","","","4128894"
"387","|cffffd100Tip:|r Zaměstnanci Blizzardu se Vás nebudou NIKDY ptát na Vaše heslo.","","","","","","","","4128894"
"389","|cffffd100Tip:|r Můžete umět jen dvě hlavní povolání najednou, ale můžete se naučit všechna druhotná povolání (rybaření, vaření a první pomoc).","","","","","","","","4128894"
"301","|cffffd100Tip:|r Můžete kliknout pravým tlačítkem myši na prospěšné kouzlo, které bylo na vás zakouzleno a vzdát se ho tak.","","","","","","","","4128894"
"231","|cffffd100Tip:|r Rozhraní menu <ESC> ,má spousty možností jak si můžete upravit vaši hru.","","","","","","","","4128894"
"232","|cffffd100Tip:|r Můžete vypnout pomalé posouvání textu u přijímání nových úkolů v menu rozhraní.","","","","","","","","4128894"
"233","|cffffd100Tip:|r Užívejte vašich talentových bodů opatrně neboť jakmile jsou vaše talenty vybrány, musíte utratit zlato k jejich odnaučení.","","","","","","","","4128894"
"234","|cffffd100Tip:|r Obálka v podobě ikony na minimapě znamená, že máte novou poštu. Navštivte schránku a přečtěte si jí.","","","","","","","","4128894"
"235","|cffffd100Tip:|r Z nabídky nastavení rozhraní můžete do vašeho herního rozhraní přidat doplňující akční panely.","","","","","","","","4128894"
"236","|cffffd100Tip:|r Pokud přidržíte <Shift> zatímco kliknete pravým tlačítkem na zaměřenou kořist, automaticky seberete z cíle všechny předměty.","","","","","","","","4128894"
"401","|cffffd100Tip:|r Váš charakter může jíst i pít zároveň.","","","","","","","","4128894"
"237","|cffffd100Tip:|r Pokud rád hrajete s nějakým kamarádem/kamarádkou, tak si ho můžete vložit do seznamu kamarádů!","","","","","","","","4128894"
