"ID","School","Category","CastUI","DispelType","Mechanic","Attributes","AttributesEx","AttributesEx2","AttributesEx3","AttributesEx4","ShapeshiftMask","Shapeshiftexclude","Targets","TargetCreatureType","RequiresSpellFocus","CasterAuraState","TargetAuraState","CastingTimeIndex","RecoveryTime","CategoryRecoveryTime","InterruptFlags","AuraInterruptFlags","ChannelInterruptFlags","ProcTypeMask","ProcChance","ProcCharges","MaxLevel","BaseLevel","SpellLevel","DurationIndex","PowerType","ManaCost","ManaCostPerLevel","ManaCostPerSecond","ManaCostPerSecondPerLevel","RangeIndex","Speed","ModalNextSpell","StackAmount","Totem_1","Totem_2","Reagent_1","Reagent_2","Reagent_3","Reagent_4","Reagent_5","Reagent_6","Reagent_7","Reagent_8","ReagentCount_1","ReagentCount_2","ReagentCount_3","ReagentCount_4","ReagentCount_5","ReagentCount_6","ReagentCount_7","ReagentCount_8","EquippedItemClass","EquippedItemSubclass","EquippedItemInvType","Effect_1","Effect_2","Effect_3","EffectDieSides_1","EffectDieSides_2","EffectDieSides_3","EffectBaseDice_1","EffectBaseDice_2","EffectBaseDice_3","EffectDicePerLevel_1","EffectDicePerLevel_2","EffectDicePerLevel_3","EffectRealPointsPerLevel_1","EffectRealPointsPerLevel_2","EffectRealPointsPerLevel_3","EffectBasePoints_1","EffectBasePoints_2","EffectBasePoints_3","EffectMechanic_1","EffectMechanic_2","EffectMechanic_3","ImplicitTargetA_1","ImplicitTargetA_2","ImplicitTargetA_3","ImplicitTargetB_1","ImplicitTargetB_2","ImplicitTargetB_3","EffectRadiusIndex_1","EffectRadiusIndex_2","EffectRadiusIndex_3","EffectAura_1","EffectAura_2","EffectAura_3","EffectAmplitude_1","EffectAmplitude_2","EffectAmplitude_3","EffectMultipleValue_1","EffectMultipleValue_2","EffectMultipleValue_3","EffectChainTarget_1","EffectChainTarget_2","EffectChainTarget_3","EffectItemType_1","EffectItemType_2","EffectItemType_3","EffectMiscValue_1","EffectMiscValue_2","EffectMiscValue_3","EffectTriggerSpell_1","EffectTriggerSpell_2","EffectTriggerSpell_3","EffectPointsPerCombo_1","EffectPointsPerCombo_2","EffectPointsPerCombo_3","SpellVisualID_1","SpellVisualID_2","SpellIconID","ActiveIconID","SpellPriority","Name_enUS","Name_enGB","Name_koKR","Name_frFR","Name_deDE","Name_enCN","Name_zhCN","Name_enTW","Name_Mask","NameSubtext_enUS","NameSubtext_enGB","NameSubtext_koKR","NameSubtext_frFR","NameSubtext_deDE","NameSubtext_enCN","NameSubtext_zhCN","NameSubtext_enTW","NameSubtext_Mask","Description_enUS","Description_enGB","Description_koKR","Description_frFR","Description_deDE","Description_enCN","Description_zhCN","Description_enTW","Description_Mask","AuraDescription_enUS","AuraDescription_enGB","AuraDescription_koKR","AuraDescription_frFR","AuraDescription_deDE","AuraDescription_enCN","AuraDescription_zhCN","AuraDescription_enTW","AuraDescription_Mask","ManaCostPct","StartRecoveryCategory","StartRecoveryTime","MaxTargetLevel","SpellClassSet","SpellClassMask_1","SpellClassMask_2","MaxTargets","DefenseType","PreventionType","StanceBarOrder","DamageMultiplier_1","DamageMultiplier_2","DamageMultiplier_3","MinFactionId","MinReputation","RequiredAuraVision"
"1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","7","0","0","0","101","0","0","0","0","0","0","10","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","0","0","5","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","9","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","50","Word of Recall (OLD)","","","Word of Recall (OLD)","","","","","8323198","","","","","","","","","8323196","","","","","","","","","8323196","","","","","","","","","4128892","0","0","0","0","0","0","0","0","1","1","-1","1","1","1","0","0","0"
"3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","101","0","0","0","0","0","0","10","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","0","0","5","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","0","0","9","0","0","10","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","50","Word of Mass Recall (OLD)","","","Word of Mass Recall (OLD)","","","","","8323198","","","","","","","","","8323196","","","","","","","","","8323196","","","","","","","","","4128892","0","0","0","0","0","0","0","0","1","1","-1","1","1","1","0","0","0"
"4","0","0","0","0","0","0","0","0","0","0","0","0","32","0","0","0","0","1","0","0","0","0","0","0","101","0","0","0","0","0","0","10","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","0","0","5","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","50","Word of Recall Other","","","Wort des Rückrufs Anderer","","","","","8323198","","","","","","","","","8323196","","","","","","","","","8323196","","","","","","","","","4128892","0","0","0","0","0","0","0","0","1","1","-1","1","1","1","0","0","0"
"5","1","0","0","0","0","150994944","131072","67108868","268435456","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","101","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","0","0","1","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","50","Death Touch","","","Todesberührung","","","","","4128894","","","","","","","","","8323196","Okamžitě zabije cíl.Doufám, že se teď cítíš dobře...","","","Tötet das Ziel sofort. Ich hoffe, Ihr seid jetzt stolz auf Euch...","","","","","8323198","","","","","","","","","4128892","0","0","0","0","0","0","0","0","0","0","-1","1","1","1","0","0","0"
"7","0","0","0","0","0","150994944","32","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","101","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","-1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","121","0","153","0","50","Suicide","","","Selbstmord","","","","","8323198","","","","","","","","","8323196","Vyvolavatel tohoto kouzla spáchá sebevraždu, okamžitě se zabije .","","","","","","","","8323196","","","","","","","","","4128892","0","0","0","0","0","0","0","0","1","1","-1","1","1","1","0","0","0"
"10","4","0","0","0","0","65536","268435596","4194304","0","0","0","0","64","0","0","0","0","1","0","0","15","0","31756","0","100","0","25","20","20","31","0","320","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","0","0","27","0","0","1","0","0","1","0","0","0","0","0","0.1","0","0","24","0","0","0","0","0","28","0","0","0","0","0","14","0","0","3","0","0","1000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","259","0","285","0","50","Blizzard","","","Blizzard","","","","","4128894","Rank 1","","","Rang 1","","","","","4128894","Ledové střepy zasypávají cílovou oblast a způsobují $o1 Mrazové poškození přes $d.","","","Eisbrocken prasseln auf das Zielgebiet nieder und verursachen $d lang $o1 Punkt(e) Frostschaden.","","","","","4128894","$s1 Mrazové poškození každých $t1 $lsecond:sekund;.","","","Alle $t1 $lSek.:Sek.; $s1 Frostschaden.","","","","","4128894","0","133","1500","0","3","524416","0","0","1","1","-1","1","1","1","0","0","0"
"11","3","44","0","1","0","262144","0","0","0","0","0","0","0","0","0","0","0","1","0","60000","0","0","0","0","101","0","0","0","20","2","0","33","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","0","0","6","0","0","1","0","0","1","0","0","0","0","0","0","0","0","99","0","0","0","0","0","1","0","0","0","0","0","0","0","0","31","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","58","0","50","Swiftness","","","Hurtigkeit","","","","","8323198","","","","","","","","","8323196","","","","","","","","","8323196","","","","","","","","","4128892","0","0","0","0","0","0","0","0","1","1","-1","1","1","1","0","0","0"
"12","0","0","0","0","0","0","0","0","0","0","0","0","128","0","0","0","0","1","0","0","0","0","0","0","101","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","0","0","6","0","0","6","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","1000","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","50","Hot Foot (TEST)","","","Flinkfuß (TEST)","","","","","8323198","","","","","","","","","8323196","","","","","","","","","8323196","","","","","","","","","4128892","0","0","0","0","0","0","0","0","1","1","-1","1","1","1","0","0","0"
"13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","101","0","0","0","0","9","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","0","0","6","0","0","1","0","0","1","0","0","0","0","0","0","0","0","199","0","0","0","0","0","1","0","0","0","0","0","0","0","0","58","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","34","0","1","0","50","Swim Speed (TEST)","","","Schwimmtempo (TEST)","","","","","8323198","","","","","","","","","8323196","","","","","","","","","8323196","","","","","","","","","4128892","0","0","0","0","0","0","0","0","1","1","-1","1","1","1","0","0","0"
"14","0","0","0","0","0","0","0","0","0","0","0","0","128","0","0","0","0","1","0","0","0","0","0","0","101","0","1","0","1","0","0","10","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","0","0","8","0","0","6","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","165","0","1","0","50","Mana Drain","","","Manasauger","","","","","8323198","","","","","","","","","8323196","","","","","","","","","8323196","","","","","","","","","4128892","0","0","0","0","0","0","0","0","1","1","-1","1","1","1","0","0","0"
